SYPTCODE,SYPTSERL,SYPTSMTP,SYPTPRTM,SYPTCHCO,SYPTGNDT
C0000294,0,Organic Chemical,Mesna,MSA,20070305
C0000726,0,Body Location or Region,Abdomen,복부,20070305
C0000726,1,Body Location or Region,Abdomen,abdominal,20070305
C0000726,2,Body Location or Region,Abdomen,Abdominal structure (body structure),20070305
C0000726,3,Body Location or Region,Abdomen,whole abdomen,20070305
C0000726,4,Body Location or Region,Abdomen,Abd. - abdomen,20070305
C0000727,0,Sign or Symptom,"Abdomen, Acute",Acute Abdomen,20070305
C0000729,0,Sign or Symptom,Abdominal Cramps,Abdominal cramps (context-dependent category),20070305
C0000729,1,Sign or Symptom,Abdominal Cramps,"Cramping, Abdomen",20070305
C0000731,0,Sign or Symptom                 ,Abdominal distention  ,"distension, abd       ",20040507
C0000731,1,Finding,Abdomen distended,distended abdomen,20070305
C0000731,2,Finding,Abdomen distended,배가 꺼지지 않는다,20070305
C0000731,3,Finding,Abdomen distended,배에 가스가 찬다,20070305
C0000731,4,Finding,Abdomen distended,Swollen abdomen (finding),20070305
C0000731,5,Finding,Abdomen distended,abdomen distension,20070305
C0000731,6,Finding,Abdomen distended,"Protruding Lesion, Abdomen",20070305
C0000731,7,Finding,Abdomen distended,lower abdominal distension,20070305
C0000731,8,Finding,Abdomen distended,low abdominal swelling,20070305
C0000731,9,Finding,Abdomen distended,abd. Distension,20070305
C0000731,10,Finding,Abdomen distended,Abdominal swelling,20070305
C0000731,11,Finding,Abdomen distended,Abdominal distension (finding),20070305
C0000731,12,Finding,Abdomen distended,"Protrusion, Abdomen",20070305
C0000733,0,Injury or Poisoning,Abdominal Injuries,Abdominal Injury,20070305
C0000733,1,Injury or Poisoning,Abdominal Injuries,"Injury, Abdomen",20070305
C0000733,2,Injury or Poisoning,Abdominal Injuries,wound; abdomen,20070305
C0000734,0,Finding,Abdominal mass,for evaluation of intraabdominal mass,20070305
C0000734,1,Finding,Abdominal mass,"Mass, Abdomen",20070305
C0000734,2,Finding,Abdominal mass,Abd mass,20070305
C0000734,3,Finding,Abdominal mass,right painful abdominal mass,20070305
C0000734,4,Finding,Abdominal mass,right abdominal mass,20070305
C0000734,5,Finding,Abdominal mass,right abd. mass,20070305
C0000734,6,Finding,Abdominal mass,"Mass, Intraabdomen",20070305
C0000734,7,Finding,Abdominal mass,intra-abdominal mass,20070305
C0000734,8,Finding,Abdominal mass,abdominal protruding mass,20070305
C0000734,9,Finding,Abdominal mass,abdominal palpable mass,20070305
C0000734,10,Finding,Abdominal mass,"Nodule, Abdomen",20070305
C0000734,11,Finding,Abdominal mass,abdominal painful mass,20070305
C0000734,12,Finding,Abdominal mass,abdominal mass evaluation,20070305
C0000734,13,Finding,Abdominal mass,abdominal huge mass,20070305
C0000734,14,Finding,Abdominal mass,abdomen mass,20070305
C0000734,15,Finding,Abdominal mass,abd palpable mass,20070305
C0000734,16,Finding,Abdominal mass,evaluation abdominal mass,20070305
C0000737,0,Sign or Symptom                 ,abdominal pain        ,"pain, abdominal       ",20040507
C0000737,1,Sign or Symptom,Abdominal Pain,abd pain,20050610
C0000737,2,Sign or Symptom,Abdominal Pain,복부통증,20070305
C0000737,3,Sign or Symptom,Abdominal Pain,With abd. pain,20070305
C0000737,4,Sign or Symptom,Abdominal Pain,With abdominal pain,20070305
C0000737,5,Sign or Symptom,Abdominal Pain,Persistent abdominal pain,20070305
C0000737,6,Sign or Symptom,Abdominal Pain,"Pain, Abdomen",20070305
C0000737,7,Sign or Symptom,Abdominal Pain,abdominal soreness,20070305
C0000737,8,Sign or Symptom,Abdominal Pain,Abdominal pain (finding),20070305
C0000737,9,Sign or Symptom,Abdominal Pain,abdomen pain,20070305
C0000737,10,Sign or Symptom,Abdominal Pain,abdomen dull pain,20070305
C0000737,11,Sign or Symptom,Abdominal Pain,Abd. pain,20070305
C0000737,12,Sign or Symptom,Abdominal Pain,배가 아프다,20070305
C0000737,13,Sign or Symptom,Abdominal Pain,abdominal sharp pain,20070305
C0000741,0,"Body Part, Organ, or Organ Component",Abducens nerve structure,Abducens nerve structure (body structure),20070305
C0000744,0,Disease or Syndrome,Abetalipoproteinemia,Hypobetalipoproteinemia,20070305
C0000766,0,Finding,X-ray abnormal,contacted for CXR abnormality,20070305
C0000766,1,Finding,X-ray abnormal,for evaluation abnormal x-ray,20070305
C0000766,2,Finding,X-ray abnormal,for evaluation of x-ray abnormal,20070305
C0000766,3,Finding,X-ray abnormal,ABNORMAL X-RAY,20070305
C0000768,0,Congenital Abnormality,Congenital abnormality,Anomaly,20070305
C0000768,1,Congenital Abnormality,Congenital Abnormality,Developmental Anomalies,20070305
C0000768,2,Congenital Abnormality,Congenital Abnormality,Developmental anomaly (morphologic abnormality),20070305
C0000768,3,Congenital Abnormality,Congenital Abnormality,Neonatal Anomaly,20070305
C0000768,4,Congenital Abnormality,Congenital Abnormality,Unspecified of Congenital Malformation,20070305
C0000768,5,Congenital Abnormality,Congenital Abnormality,Other Type of Developmental Failure of Limb,20070305
C0000768,6,Congenital Abnormality,Congenital Abnormality,for observation of fetal abnomality,20070305
C0000768,7,Congenital Abnormality,Congenital Abnormality,fetal anormaly,20070305
C0000768,8,Congenital Abnormality,Congenital Abnormality,fetal anomaly detect,20070305
C0000768,9,Congenital Abnormality,Congenital Abnormality,FETAL ANOMALY,20070305
C0000768,10,Congenital Abnormality,Congenital Abnormality,fetal anomalies,20070305
C0000768,11,Congenital Abnormality,Congenital Abnormality,fetal abnormaly,20070305
C0000768,12,Congenital Abnormality,Congenital Abnormality,fetal abnormality,20070305
C0000768,13,Congenital Abnormality,Congenital Abnormality,Congenital anomaly (morphologic abnormality),20070305
C0000768,14,Congenital Abnormality,Congenital Abnormality,Dysmorphism Due To Others,20070305
C0000768,15,Congenital Abnormality,Congenital Abnormality,depression deformity,20070305
C0000768,16,Congenital Abnormality,Congenital Abnormality,CPA abnormality,20070305
C0000768,17,Congenital Abnormality,Congenital Abnormality,Congenital malformation (morphologic abnormality),20070305
C0000768,18,Congenital Abnormality,Congenital Abnormality,Congenital deformity,20070305
C0000768,19,Congenital Abnormality,Congenital Abnormality,Congenital anomaly NOS (disorder),20070305
C0000769,0,Functional Concept,teratologic,abnormalities,20070305
C0000772,0,Congenital Abnormality,"Abnormalities, Multiple",Multiple Anomaly of Neonate,20070305
C0000786,0,Disease or Syndrome,Spontaneous abortion,Spontaneous abortion NOS (disorder),20070305
C0000809,0,Disease or Syndrome,"Abortion, Habitual",Habitual Abortion,20070305
C0000809,1,Disease or Syndrome,"Abortion, Habitual","Abortion, Recurrent",20070305
C0000811,0,Therapeutic or Preventive Procedure,Termination of pregnancy,Abortions,20070305
C0000811,1,Therapeutic or Preventive Procedure,Termination of pregnancy,"for termination, fetal abnormaly",20070305
C0000811,2,Therapeutic or Preventive Procedure,Termination of pregnancy,"Termination, Pregnancy",20070305
C0000811,3,Therapeutic or Preventive Procedure,Termination of pregnancy,"for termination, diffuse thickened placenta at sono",20070305
C0000811,4,Therapeutic or Preventive Procedure,Termination of pregnancy,for termination preg.,20070305
C0000811,5,Therapeutic or Preventive Procedure,Termination of pregnancy,for termination of preg.,20070305
C0000811,6,Therapeutic or Preventive Procedure,Termination of pregnancy,for termination of baby,20070305
C0000811,7,Therapeutic or Preventive Procedure,Termination of pregnancy,for termination due to fetal anomaly,20070305
C0000811,8,Therapeutic or Preventive Procedure,Termination of pregnancy,for termination,20070305
C0000811,9,Therapeutic or Preventive Procedure,Termination of pregnancy,for abortion,20070305
C0000814,0,Disease or Syndrome,"Abortion, Missed",Missed Abortion,20070305
C0000814,1,Disease or Syndrome,"Abortion, Missed",MA - Missed abortion,20070305
C0000817,0,Disease or Syndrome,"Abortion, Septic",Septic Abortion,20070305
C0000820,0,Therapeutic or Preventive Procedure,Therapeutic Abortion,for medical abortion,20070305
